Time,Sheep,Wolves,Grass,Dirt
0,100,50,1336.0,1265.0
1,86,49,1337.0,1264.0
2,79,51,1337.0,1264.0
3,81,55,1336.0,1265.0
4,78,55,1347.0,1254.0
5,77,55,1357.0,1244.0
6,73,54,1380.0,1221.0
7,67,57,1387.0,1214.0
8,70,57,1421.0,1180.0
9,75,60,1431.0,1170.0
10,76,60,1446.0,1155.0
11,77,60,1451.0,1150.0
12,78,60,1461.0,1140.0
13,81,63,1464.0,1137.0
14,82,64,1460.0,1141.0
15,83,65,1464.0,1137.0
16,80,64,1482.0,1119.0
17,78,64,1489.0,1112.0
18,76,67,1499.0,1102.0
19,76,66,1514.0,1087.0
20,78,72,1524.0,1077.0
21,79,72,1539.0,1062.0
22,80,75,1563.0,1038.0
23,80,80,1587.0,1014.0
24,78,80,1611.0,990.0
25,81,85,1630.0,971.0
26,80,85,1640.0,961.0
27,83,82,1645.0,956.0
28,88,79,1661.0,940.0
29,89,82,1684.0,917.0
30,88,82,1703.0,898.0
31,88,84,1722.0,879.0
32,89,90,1705.0,896.0
33,95,93,1669.0,932.0
34,94,89,1640.0,961.0
35,93,87,1611.0,990.0
36,96,84,1593.0,1008.0
37,96,82,1577.0,1024.0
38,98,81,1554.0,1047.0
39,91,85,1536.0,1065.0
40,93,86,1519.0,1082.0
41,93,91,1505.0,1096.0
42,87,91,1498.0,1103.0
43,89,92,1488.0,1113.0
44,87,91,1471.0,1130.0
45,85,93,1470.0,1131.0
46,82,93,1464.0,1137.0
47,80,91,1468.0,1133.0
48,82,96,1472.0,1129.0
49,85,92,1459.0,1142.0
50,85,93,1451.0,1150.0
51,87,96,1441.0,1160.0
52,90,100,1425.0,1176.0
53,90,107,1417.0,1184.0
54,90,106,1425.0,1176.0
55,92,110,1422.0,1179.0
56,94,109,1414.0,1187.0
57,98,110,1404.0,1197.0
58,89,115,1408.0,1193.0
59,85,119,1406.0,1195.0
60,90,120,1405.0,1196.0
61,86,122,1414.0,1187.0
62,90,123,1417.0,1184.0
63,91,123,1418.0,1183.0
64,88,124,1433.0,1168.0
65,86,122,1439.0,1162.0
66,86,124,1432.0,1169.0
67,86,117,1429.0,1172.0
68,91,125,1426.0,1175.0
69,89,127,1417.0,1184.0
70,90,131,1427.0,1174.0
71,90,122,1414.0,1187.0
72,90,120,1409.0,1192.0
73,91,120,1404.0,1197.0
74,91,119,1402.0,1199.0
75,94,118,1394.0,1207.0
76,94,117,1375.0,1226.0
77,90,116,1368.0,1233.0
78,88,117,1362.0,1239.0
79,85,116,1373.0,1228.0
80,82,117,1369.0,1232.0
81,81,116,1364.0,1237.0
82,75,112,1373.0,1228.0
83,77,119,1371.0,1230.0
84,77,117,1368.0,1233.0
85,73,114,1374.0,1227.0
86,68,114,1380.0,1221.0
87,68,109,1401.0,1200.0
88,67,106,1411.0,1190.0
89,63,106,1422.0,1179.0
90,61,108,1446.0,1155.0
91,64,115,1461.0,1140.0
92,63,113,1465.0,1136.0
93,61,122,1477.0,1124.0
94,62,124,1484.0,1117.0
95,60,120,1487.0,1114.0
96,59,116,1503.0,1098.0
97,57,122,1513.0,1088.0
98,55,126,1521.0,1080.0
99,57,125,1542.0,1059.0
100,59,127,1545.0,1056.0
101,58,121,1554.0,1047.0
102,56,118,1567.0,1034.0
103,55,117,1575.0,1026.0
104,55,115,1583.0,1018.0
105,56,117,1596.0,1005.0
106,56,117,1614.0,987.0
107,57,117,1628.0,973.0
108,57,120,1635.0,966.0
109,51,118,1633.0,968.0
110,49,119,1649.0,952.0
111,48,121,1665.0,936.0
112,46,120,1674.0,927.0
113,42,115,1685.0,916.0
114,40,115,1702.0,899.0
115,39,117,1707.0,894.0
116,37,107,1721.0,880.0
117,36,107,1724.0,877.0
118,39,109,1730.0,871.0
119,40,110,1744.0,857.0
120,41,110,1744.0,857.0
121,43,103,1740.0,861.0
122,44,105,1743.0,858.0
123,46,102,1742.0,859.0
124,45,102,1737.0,864.0
125,50,100,1739.0,862.0
126,51,99,1738.0,863.0
127,53,98,1736.0,865.0
128,52,100,1732.0,869.0
129,52,104,1728.0,873.0
130,51,104,1729.0,872.0
131,51,100,1729.0,872.0
132,52,95,1727.0,874.0
133,51,97,1720.0,881.0
134,48,94,1731.0,870.0
135,50,97,1729.0,872.0
136,49,100,1725.0,876.0
137,48,98,1723.0,878.0
138,46,90,1734.0,867.0
139,43,89,1736.0,865.0
140,41,87,1737.0,864.0
141,41,87,1732.0,869.0
142,42,90,1730.0,871.0
143,42,88,1732.0,869.0
144,42,89,1734.0,867.0
145,45,88,1739.0,862.0
146,44,88,1735.0,866.0
147,43,89,1734.0,867.0
148,44,88,1733.0,868.0
149,44,92,1726.0,875.0
150,42,96,1722.0,879.0
151,41,89,1727.0,874.0
152,42,82,1730.0,871.0
153,44,82,1739.0,862.0
154,44,81,1740.0,861.0
155,44,81,1736.0,865.0
156,42,83,1748.0,853.0
157,43,81,1752.0,849.0
158,43,76,1764.0,837.0
159,47,87,1771.0,830.0
160,46,86,1771.0,830.0
161,46,78,1777.0,824.0
162,47,79,1790.0,811.0
163,48,75,1798.0,803.0
164,48,74,1791.0,810.0
165,53,76,1783.0,818.0
166,50,78,1787.0,814.0
167,50,78,1785.0,816.0
168,50,79,1779.0,822.0
169,53,76,1773.0,828.0
170,57,79,1763.0,838.0
171,58,82,1749.0,852.0
172,60,80,1734.0,867.0
173,58,79,1715.0,886.0
174,59,79,1705.0,896.0
175,54,85,1694.0,907.0
176,56,79,1693.0,908.0
177,56,79,1686.0,915.0
178,59,79,1676.0,925.0
179,57,77,1671.0,930.0
180,58,77,1659.0,942.0
181,59,76,1648.0,953.0
182,59,79,1637.0,964.0
183,58,83,1623.0,978.0
184,59,87,1617.0,984.0
185,57,90,1618.0,983.0
186,53,93,1603.0,998.0
187,56,92,1598.0,1003.0
188,58,90,1582.0,1019.0
189,58,90,1573.0,1028.0
190,57,85,1565.0,1036.0
191,58,80,1558.0,1043.0
192,58,79,1545.0,1056.0
193,56,85,1543.0,1058.0
194,58,84,1546.0,1055.0
195,60,85,1556.0,1045.0
196,60,84,1554.0,1047.0
197,58,82,1554.0,1047.0
198,57,81,1550.0,1051.0
199,55,85,1560.0,1041.0
200,57,85,1556.0,1045.0
201,57,88,1564.0,1037.0
202,58,88,1572.0,1029.0
203,59,88,1586.0,1015.0
204,60,88,1586.0,1015.0
205,57,90,1586.0,1015.0
206,59,90,1579.0,1022.0
207,58,90,1568.0,1033.0
208,60,87,1568.0,1033.0
209,56,85,1560.0,1041.0
210,54,88,1567.0,1034.0
211,53,85,1571.0,1030.0
212,54,90,1578.0,1023.0
213,56,92,1584.0,1017.0
214,57,88,1587.0,1014.0
215,59,86,1584.0,1017.0
216,58,82,1586.0,1015.0
217,60,84,1586.0,1015.0
218,62,87,1585.0,1016.0
219,58,83,1586.0,1015.0
220,55,83,1594.0,1007.0
221,54,82,1588.0,1013.0
222,56,83,1596.0,1005.0
223,56,83,1595.0,1006.0
224,59,83,1596.0,1005.0
225,58,84,1594.0,1007.0
226,58,87,1591.0,1010.0
227,59,91,1585.0,1016.0
228,56,89,1582.0,1019.0
229,55,90,1570.0,1031.0
230,57,89,1574.0,1027.0
231,59,89,1575.0,1026.0
232,60,88,1576.0,1025.0
233,59,91,1574.0,1027.0
234,58,92,1576.0,1025.0
