Time,Agent,x,y,Energy
1,grass,0,1,
1,grass,0,2,
1,grass,0,4,
1,grass,0,8,
1,grass,0,10,
1,grass,0,13,
1,grass,0,16,
1,grass,0,19,
1,grass,0,20,
1,grass,0,24,
1,grass,0,25,
1,grass,0,26,
1,grass,0,27,
1,grass,0,28,
1,grass,0,31,
1,grass,0,32,
1,grass,0,33,
1,grass,0,40,
1,grass,0,44,
1,grass,0,46,
1,grass,1,0,
1,grass,1,4,
1,grass,1,10,
1,grass,1,11,
1,grass,1,14,
1,grass,1,15,
1,grass,1,19,
1,grass,1,21,
1,grass,1,22,
1,grass,1,25,
1,grass,1,28,
1,grass,1,32,
1,grass,1,33,
1,grass,1,34,
1,grass,1,37,
1,grass,1,38,
1,grass,1,40,
1,grass,1,47,
1,grass,1,48,
1,grass,2,1,
1,grass,2,2,
1,grass,2,3,
1,grass,2,5,
1,grass,2,6,
1,grass,2,7,
1,grass,2,9,
1,grass,2,10,
1,grass,2,13,
1,grass,2,14,
1,grass,2,15,
1,grass,2,16,
1,grass,2,18,
1,grass,2,19,
1,grass,2,20,
1,grass,2,22,
1,grass,2,23,
1,grass,2,25,
1,grass,2,26,
1,grass,2,32,
1,grass,2,33,
1,grass,2,34,
1,grass,2,35,
1,grass,2,37,
1,grass,2,43,
1,grass,2,44,
1,grass,3,0,
1,grass,3,1,
1,grass,3,4,
1,grass,3,5,
1,grass,3,7,
1,grass,3,9,
1,grass,3,11,
1,grass,3,12,
1,grass,3,15,
1,grass,3,18,
1,grass,3,21,
1,grass,3,23,
1,grass,3,26,
1,grass,3,27,
1,grass,3,29,
1,grass,3,32,
1,grass,3,35,
1,grass,3,39,
1,grass,3,43,
1,grass,3,44,
1,grass,3,45,
1,grass,3,46,
1,grass,3,49,
1,grass,4,1,
1,grass,4,2,
1,grass,4,4,
1,grass,4,5,
1,grass,4,6,
1,grass,4,9,
1,grass,4,10,
1,grass,4,13,
1,grass,4,14,
1,grass,4,15,
1,grass,4,18,
1,grass,4,20,
1,grass,4,22,
1,grass,4,23,
1,grass,4,24,
1,grass,4,29,
1,grass,4,31,
1,grass,4,32,
1,grass,4,33,
1,grass,4,34,
1,grass,4,37,
1,grass,4,39,
1,grass,4,40,
1,grass,4,41,
1,grass,4,45,
1,grass,4,46,
1,grass,4,48,
1,grass,4,49,
1,grass,5,0,
1,grass,5,2,
1,grass,5,4,
1,grass,5,11,
1,grass,5,13,
1,grass,5,15,
1,grass,5,19,
1,grass,5,23,
1,grass,5,28,
1,grass,5,29,
1,grass,5,31,
1,grass,5,34,
1,grass,5,35,
1,grass,5,36,
1,grass,5,37,
1,grass,5,38,
1,grass,5,39,
1,grass,5,42,
1,grass,5,47,
1,grass,5,48,
1,grass,5,49,
1,grass,6,0,
1,grass,6,2,
1,grass,6,5,
1,grass,6,8,
1,grass,6,10,
1,grass,6,11,
1,grass,6,15,
1,grass,6,16,
1,grass,6,17,
1,grass,6,21,
1,grass,6,22,
1,grass,6,24,
1,grass,6,26,
1,grass,6,28,
1,grass,6,29,
1,grass,6,32,
1,grass,6,34,
1,grass,6,35,
1,grass,6,36,
1,grass,6,39,
1,grass,6,40,
1,grass,6,41,
1,grass,6,42,
1,grass,6,43,
1,grass,6,44,
1,grass,6,46,
1,grass,6,48,
1,grass,6,49,
1,grass,7,0,
1,grass,7,2,
1,grass,7,3,
1,grass,7,5,
1,grass,7,11,
1,grass,7,12,
1,grass,7,14,
1,grass,7,17,
1,grass,7,21,
1,grass,7,22,
1,grass,7,24,
1,grass,7,25,
1,grass,7,27,
1,grass,7,28,
1,grass,7,34,
1,grass,7,35,
1,grass,7,40,
1,grass,7,43,
1,grass,7,44,
1,grass,7,47,
1,grass,8,0,
1,grass,8,1,
1,grass,8,2,
1,grass,8,4,
1,grass,8,7,
1,grass,8,10,
1,grass,8,11,
1,grass,8,12,
1,grass,8,13,
1,grass,8,14,
1,grass,8,15,
1,grass,8,16,
1,grass,8,18,
1,grass,8,19,
1,grass,8,20,
1,grass,8,22,
1,grass,8,23,
1,grass,8,25,
1,grass,8,28,
1,grass,8,29,
1,grass,8,32,
1,grass,8,34,
1,grass,8,35,
1,grass,8,36,
1,grass,8,37,
1,grass,8,39,
1,grass,8,40,
1,grass,8,41,
1,grass,8,42,
1,grass,8,43,
1,grass,8,45,
1,grass,8,47,
1,grass,8,49,
1,grass,9,2,
1,grass,9,4,
1,grass,9,6,
1,grass,9,7,
1,grass,9,8,
1,grass,9,9,
1,grass,9,10,
1,grass,9,12,
1,grass,9,13,
1,grass,9,15,
1,grass,9,17,
1,grass,9,21,
1,grass,9,23,
1,grass,9,26,
1,grass,9,28,
1,grass,9,30,
1,grass,9,33,
1,grass,9,34,
1,grass,9,35,
1,grass,9,39,
1,grass,9,40,
1,grass,9,42,
1,grass,9,45,
1,grass,9,48,
1,grass,10,2,
1,grass,10,5,
1,grass,10,6,
1,grass,10,8,
1,grass,10,9,
1,grass,10,11,
1,grass,10,13,
1,grass,10,15,
1,grass,10,16,
1,grass,10,18,
1,grass,10,19,
1,grass,10,20,
1,grass,10,21,
1,grass,10,24,
1,grass,10,32,
